Category: All categories,,,,,
,,,,,
City,Pizza: (1/31/21 - 1/31/22),Sushi: (1/31/21 - 1/31/22),Pasta: (1/31/21 - 1/31/22),vegetarian: (1/31/21 - 1/31/22),Seafood: (1/31/21 - 1/31/22)
Key West,49%,9%,7%,3%,32%
Lighthouse Point,52%,17%,12%,1%,18%
Miami Beach,44%,20%,12%,2%,22%
Fort Lauderdale,48%,18%,15%,2%,17%
Aventura,45%,31%,11%,2%,11%
Coconut Creek,50%,11%,20%,2%,17%
Hollywood,47%,18%,13%,2%,20%
Margate,50%,18%,18%,4%,10%
Coral Springs,50%,17%,18%,3%,12%
Miami,49%,20%,14%,3%,14%
Davie,50%,18%,17%,4%,11%
Deerfield Beach,49%,16%,18%,3%,14%
North Miami,50%,26%,14%,2%,8%
Dania Beach,,,,,
Plantation,50%,18%,19%,2%,11%
Sunrise,51%,9%,18%,3%,19%
Coral Gables,43%,32%,14%,3%,8%
Pinecrest,,,,,
Pembroke Pines,47%,20%,17%,4%,12%
Pompano Beach,48%,14%,20%,3%,15%
The Hammocks,53%,17%,20%,1%,9%
Kendall,38%,27%,21%,3%,11%
Hialeah,51%,19%,14%,2%,14%
North Miami Beach,,,,,
Kendall West,46%,18%,22%,5%,9%
Homestead,51%,18%,15%,1%,15%
Weston,48%,21%,20%,3%,8%
Doral,46%,22%,20%,<1%,12%
North Lauderdale,46%,15%,22%,6%,11%
Medley,55%,15%,16%,2%,12%
Miami Gardens,49%,8%,15%,4%,24%
Tamiami,45%,26%,17%,2%,10%
Miramar,45%,10%,25%,5%,15%