Week,pizza_feb_17_to_jan_22,sushi_feb_17_to_jan_22,pasta_feb_17_to_jan_22,vegetarian_feb_17_to_jan_22,seafood_feb_17_to_jan_22
2/5/17,63,13,10,3,13
2/12/17,64,19,11,3,10
2/19/17,59,18,8,5,11
2/26/17,57,18,10,3,11
3/5/17,62,15,10,2,13
3/12/17,61,19,11,2,13
3/19/17,59,20,7,2,12
3/26/17,52,18,8,3,10
4/2/17,56,15,11,2,10
4/9/17,61,20,8,3,13
4/16/17,49,13,6,2,8
4/23/17,60,17,10,3,11
4/30/17,53,12,7,3,9
5/7/17,53,15,8,4,10
5/14/17,56,19,11,4,6
5/21/17,55,18,8,4,12
5/28/17,60,21,6,2,8
6/4/17,63,17,11,2,9
6/11/17,54,18,9,2,11
6/18/17,54,16,10,2,11
6/25/17,58,19,11,3,11
7/2/17,65,20,10,5,10
7/9/17,62,17,12,4,10
7/16/17,60,22,10,3,13
7/23/17,62,20,13,4,9
7/30/17,60,19,10,5,12
8/6/17,64,19,12,5,12
8/13/17,60,19,12,3,10
8/20/17,54,13,10,4,9
8/27/17,56,12,11,4,9
9/3/17,59,11,9,2,5
9/10/17,100,13,8,4,5
9/17/17,48,15,10,3,6
9/24/17,59,15,10,3,6
10/1/17,57,9,12,3,7
10/8/17,58,14,9,3,10
10/15/17,55,18,8,3,13
10/22/17,51,15,10,3,9
10/29/17,64,19,9,4,7
11/5/17,57,17,13,4,9
11/12/17,47,13,9,4,9
11/19/17,56,16,10,3,9
11/26/17,50,13,6,6,7
12/3/17,58,14,10,3,8
12/10/17,58,19,10,3,6
12/17/17,61,12,11,4,8
12/24/17,72,21,10,4,12
12/31/17,68,17,11,4,12
1/7/18,51,16,13,3,11
1/14/18,53,16,11,5,12
1/21/18,58,19,11,3,9
1/28/18,52,18,8,3,8
2/4/18,59,19,13,3,11
2/11/18,56,16,13,4,13
2/18/18,55,18,11,3,15
2/25/18,54,16,12,4,9
3/4/18,61,15,8,3,12
3/11/18,63,18,13,3,13
3/18/18,64,17,8,3,12
3/25/18,68,22,12,4,16
4/1/18,60,22,9,4,11
4/8/18,50,19,10,3,9
4/15/18,59,18,7,4,10
4/22/18,50,16,10,3,14
4/29/18,52,16,9,3,9
5/6/18,59,13,11,4,7
5/13/18,56,18,10,3,12
5/20/18,58,13,10,3,8
5/27/18,67,21,10,3,13
6/3/18,64,18,10,3,9
6/10/18,64,18,10,3,13
6/17/18,59,16,10,5,9
6/24/18,56,18,10,2,13
7/1/18,67,14,11,3,12
7/8/18,65,16,10,3,9
7/15/18,62,16,10,2,9
7/22/18,58,21,11,2,11
7/29/18,71,15,10,2,11
8/5/18,63,19,13,3,12
8/12/18,59,17,12,2,11
8/19/18,58,16,11,2,10
8/26/18,51,17,9,2,8
9/2/18,65,17,13,3,7
9/9/18,53,15,9,3,8
9/16/18,56,14,10,2,9
9/23/18,58,17,12,1,10
9/30/18,50,16,10,4,11
10/7/18,52,12,9,2,9
10/14/18,51,18,9,3,15
10/21/18,50,14,9,2,11
10/28/18,53,15,9,4,9
11/4/18,49,13,7,4,9
11/11/18,55,17,9,4,7
11/18/18,60,13,9,5,8
11/25/18,53,13,11,4,9
12/2/18,45,14,6,2,8
12/9/18,48,17,9,1,9
12/16/18,57,17,10,3,12
12/23/18,78,19,11,3,16
12/30/18,61,23,13,6,13
1/6/19,54,16,8,5,12
1/13/19,49,17,10,2,10
1/20/19,52,19,10,5,10
1/27/19,52,14,10,2,10
2/3/19,56,18,9,2,11
2/10/19,61,18,11,3,11
2/17/19,55,15,11,2,13
2/24/19,63,13,10,2,11
3/3/19,56,20,12,3,15
3/10/19,69,18,10,3,12
3/17/19,64,21,12,2,14
3/24/19,71,16,9,2,13
3/31/19,66,17,9,5,13
4/7/19,59,15,10,3,13
4/14/19,57,17,11,4,12
4/21/19,52,16,10,2,14
4/28/19,61,16,11,3,11
5/5/19,59,13,12,4,10
5/12/19,65,20,10,2,12
5/19/19,55,17,10,2,8
5/26/19,64,15,5,1,8
6/2/19,59,23,10,3,12
6/9/19,54,16,9,3,15
6/16/19,58,21,11,2,12
6/23/19,66,21,12,3,10
6/30/19,63,17,10,3,15
7/7/19,61,17,11,3,13
7/14/19,63,15,13,2,12
7/21/19,58,17,12,4,12
7/28/19,72,20,10,4,10
8/4/19,58,21,13,2,10
8/11/19,61,18,9,2,11
8/18/19,58,15,16,2,14
8/25/19,44,12,8,2,9
9/1/19,52,16,9,3,8
9/8/19,50,15,8,2,8
9/15/19,57,17,13,3,11
9/22/19,62,13,10,3,12
9/29/19,58,14,8,2,9
10/6/19,59,18,11,2,11
10/13/19,47,15,11,3,12
10/20/19,54,16,11,4,15
10/27/19,57,15,12,4,13
11/3/19,50,15,11,5,10
11/10/19,53,15,12,4,12
11/17/19,52,13,11,3,10
11/24/19,52,13,5,3,10
12/1/19,47,13,10,3,9
12/8/19,55,11,9,2,9
12/15/19,49,15,9,2,8
12/22/19,74,19,14,3,16
12/29/19,71,20,12,3,20
1/5/20,56,16,11,3,11
1/12/20,52,13,13,4,10
1/19/20,53,17,12,3,16
1/26/20,46,14,11,3,11
2/2/20,57,14,12,3,16
2/9/20,56,13,13,4,17
2/16/20,58,16,12,4,13
2/23/20,54,15,10,2,19
3/1/20,55,19,11,3,17
3/8/20,51,12,8,2,15
3/15/20,55,11,9,1,9
3/22/20,53,11,14,4,7
3/29/20,50,10,14,2,7
4/5/20,59,12,19,2,6
4/12/20,57,11,15,2,7
4/19/20,63,14,14,1,7
4/26/20,65,13,13,2,6
5/3/20,62,17,12,3,9
5/10/20,62,19,15,2,8
5/17/20,58,18,14,2,10
5/24/20,57,16,10,2,9
5/31/20,60,16,12,2,9
6/7/20,62,17,14,3,12
6/14/20,62,24,12,2,13
6/21/20,59,19,12,2,13
6/28/20,60,18,14,2,16
7/5/20,56,18,16,1,10
7/12/20,59,19,11,3,10
7/19/20,57,14,14,2,19
7/26/20,66,17,14,3,11
8/2/20,54,20,15,2,9
8/9/20,58,19,12,2,13
8/16/20,55,18,11,2,13
8/23/20,54,15,13,3,11
8/30/20,50,20,11,3,9
9/6/20,43,18,10,3,12
9/13/20,46,18,13,3,13
9/20/20,46,18,10,2,12
9/27/20,50,15,11,2,8
10/4/20,48,17,12,2,12
10/11/20,49,14,8,3,11
10/18/20,49,20,11,3,12
10/25/20,51,14,11,2,10
11/1/20,41,16,11,1,6
11/8/20,49,16,13,2,9
11/15/20,53,16,9,2,12
11/22/20,58,18,9,3,13
11/29/20,49,13,12,2,9
12/6/20,47,17,9,1,11
12/13/20,52,17,10,3,9
12/20/20,63,15,11,4,12
12/27/20,70,24,14,2,12
1/3/21,51,22,11,2,12
1/10/21,52,21,12,2,9
1/17/21,57,18,13,3,12
1/24/21,56,17,15,2,8
1/31/21,47,21,13,2,14
2/7/21,61,18,16,2,14
2/14/21,63,27,14,3,18
2/21/21,57,18,12,1,15
2/28/21,54,19,14,2,12
3/7/21,55,19,11,2,15
3/14/21,51,24,12,3,16
3/21/21,56,23,12,1,18
3/28/21,65,24,15,2,17
4/4/21,59,21,13,3,15
4/11/21,51,17,11,3,15
4/18/21,53,19,13,2,16
4/25/21,56,21,14,2,15
5/2/21,55,18,11,3,15
5/9/21,55,20,14,1,12
5/16/21,54,19,13,3,18
5/23/21,49,20,9,3,14
5/30/21,54,22,13,3,15
6/6/21,51,19,11,2,16
6/13/21,61,21,12,1,18
6/20/21,54,22,10,2,13
6/27/21,58,19,13,3,13
7/4/21,58,17,14,2,16
7/11/21,50,20,10,3,11
7/18/21,56,24,15,3,15
7/25/21,52,24,14,3,13
8/1/21,50,18,11,2,12
8/8/21,50,21,11,3,12
8/15/21,48,21,13,2,12
8/22/21,49,22,13,1,14
8/29/21,50,15,9,2,12
9/5/21,52,20,15,1,13
9/12/21,46,17,11,3,9
9/19/21,43,19,11,3,9
9/26/21,52,20,14,1,11
10/3/21,48,15,10,1,10
10/10/21,56,21,9,1,11
10/17/21,48,19,12,1,11
10/24/21,56,18,10,1,8
10/31/21,57,18,11,2,9
11/7/21,50,22,12,1,9
11/14/21,50,20,7,3,9
11/21/21,51,20,9,2,9
11/28/21,51,18,8,1,7
12/5/21,55,18,7,1,10
12/12/21,57,19,11,1,10
12/19/21,62,22,9,2,12
12/26/21,69,29,9,2,13
1/2/22,58,21,9,2,7
1/9/22,55,20,12,1,9
1/16/22,52,21,9,1,11
1/23/22,58,22,10,2,10