City,pizza_feb_17_jan_22,sushi_feb_17_jan_22,pasta_feb_17_jan_22,vegetarian_feb_17_to_jan_22,seafood_feb_17_to_jan_22
Lake Buena Vista,0.65,0.12,0.07,0.03,0.13
Campbell,0.71,0.09,0.06,0.01,0.13
Cocoa Beach,0.45,0.07,0.05,0.01,0.42
Ormond-by-the-Sea,,,,,
Indian Harbour Beach,,,,,
Cocoa,0.69,0.05,0.07,,0.19
South Daytona,,,,,
Oak Hill,,,,,
Daytona Beach,0.62,0.09,0.06,0.02,0.21
Hunters Creek,0.61,0.14,0.07,0.02,0.16
Port Saint John,0.75,0.04,0.07,,0.14
Holly Hill,0.61,0.08,0.06,0.02,0.23
Bay Lake,0.67,0.11,0.07,0.04,0.11
Orange City,,,,,
Port Orange,0.67,0.1,0.07,0.02,0.14
Four Corners,0.69,0.08,0.07,0.02,0.14
Midway,0.71,0.05,0.1,0.02,0.12
Silver Springs,,,,,
Fern Park,,,,,
Apopka,,,,,
Clermont,0.69,0.1,0.09,0.04,0.08
Astor,,,,,
Altamonte Springs,0.6,0.12,0.07,0.02,0.19
Rockledge,0.65,0.08,0.1,0.02,0.15
New Smyrna Beach,0.58,0.09,0.09,0.03,0.21
Melbourne,0.64,0.08,0.08,0.02,0.18
Tangerine,0.61,0.13,0.09,0.02,0.15
Palm Coast,0.62,0.12,0.1,0.02,0.14
Saint Cloud,0.74,0.09,0.09,0.01,0.07
Ormond Beach,0.61,0.11,0.09,0.02,0.17
Fairview Shores,,,,,
Deltona,0.72,0.08,0.1,0.02,0.08
Goldenrod,0.63,0.14,0.11,0.04,0.08
Orlando,0.61,0.14,0.08,0.03,0.14
Sharpes,,,,,
Conway,0.67,0.14,0.1,0.02,0.07
DeLand,0.69,0.09,0.1,0.02,0.1
Merritt Island,0.6,0.07,0.09,0.03,0.21
Kissimmee,0.7,0.09,0.1,0.02,0.09
Doctor Phillips,0.55,0.21,0.1,0.04,0.1
Ocala,0.66,0.12,0.08,0.02,0.12
Edgewater,,,,,
Belleview,0.63,0.09,0.14,0.01,0.13
Leesburg,,,,,
Grant-Valkaria,,,,,
Samsula-Spruce Creek,,,,,
Union Park,0.58,0.18,0.11,0.03,0.1
Williamsburg,0.61,0.13,0.1,0.02,0.14
Celebration,0.65,0.14,0.1,0.03,0.08
Palm Bay,0.64,0.07,0.1,0.03,0.16
Wildwood,,,,,
Oak Ridge,,,,,
Casselberry,0.6,0.14,0.11,0.05,0.1
Winter Garden,0.62,0.15,0.11,0.03,0.09
Pine Lakes,,,,,
Maitland,0.6,0.16,0.1,0.03,0.11
Holden Heights,,,,,
Port Canaveral,,,,,
Lockhart,0.64,0.11,0.1,0.03,0.12
Anthony,,,,,
Melbourne Beach,,,,,
Winter Springs,0.59,0.16,0.11,0.03,0.11
Titusville,0.64,0.07,0.08,0.01,0.2
Winter Park,0.59,0.2,0.1,0.03,0.08
Silver Springs Shores,0.7,0.08,0.11,,0.11
Lake Mary,0.59,0.16,0.1,0.05,0.1
Forest City,,,,,
Ocoee,,,,,
Heathrow,0.59,0.15,0.11,0.05,0.1
Pine Hills,0.62,0.06,0.07,0.01,0.24
Wekiva Springs,,,,,
Minneola,,,,,
The Villages,,,,,
Lady Lake,,,,,
Sanford,0.61,0.12,0.1,0.02,0.15
Buena Ventura Lakes,,,,,
Lake Butler,0.61,0.18,0.12,0.03,0.06
Oviedo,0.58,0.17,0.12,0.03,0.1
Sky Lake,,,,,
Lake Hart,,,,,
Groveland,,,,,
Mount Dora,,,,,
Poinciana,0.7,0.07,0.1,0.02,0.11
Meadow Woods,,,,,
Azalea Park,,,,,
Fruitland Park,,,,,
Dunnellon,,,,,
Bithlo,,,,,