City,pizza_feb_17_jan_22,sushi_feb_17_jan_22,pasta_feb_17_jan_22,vegetarian_feb_17_jan_22,seafood_feb_17_jan_22
Saint Pete Beach,,,,,
Siesta Key,0.6,0.07,0.04,,0.29
Holmes Beach,,,,,
Seminole,0.66,0.11,0.06,0.01,0.16
Treasure Island,,,,,
Elfers,,,,,
Indian Shores,,,,,
New Port Richey,0.72,0.09,0.08,0.01,0.1
Crystal River,,,,,
Palm Harbor,0.71,0.11,0.07,0.02,0.09
Holiday,0.76,0.05,0.08,0.02,0.09
Bayonet Point,0.77,0.06,0.08,,0.09
Longboat Key,,,,,
Tarpon Springs,0.74,0.07,0.08,0.01,0.1
Clearwater,0.68,0.11,0.08,0.02,0.11
New Port Richey East,0.75,0.08,0.08,,0.09
Dunedin,0.7,0.09,0.09,0.02,0.1
Largo,0.68,0.1,0.09,0.02,0.11
Davenport,0.69,0.07,0.1,0.03,0.11
Hudson,0.74,0.06,0.08,,0.12
Jasmine Estates,0.72,0.1,0.1,0.01,0.07
Spring Hill,0.74,0.05,0.1,0.02,0.09
Trinity,0.7,0.1,0.11,0.01,0.08
Beacon Square,,,,,
Odessa,,,,,
Safety Harbor,0.66,0.11,0.09,0.03,0.11
Four Corners,0.67,0.09,0.07,0.02,0.15
Gulf Gate Estates,,,,,
Palmetto,,,,,
Cypress Gardens,,,,,
Riverview,0.7,0.1,0.1,0.02,0.08
Venice Gardens,,,,,
East Lake,0.7,0.08,0.13,0.02,0.07
Sylvan Shores,,,,,
Progress Village,0.66,0.1,0.11,0.01,0.12
Bayshore Gardens,,,,,
Gibsonton,0.67,0.09,0.09,0.02,0.13
South Venice,,,,,
Warm Mineral Springs,,,,,
Pinellas Park,0.67,0.12,0.08,0.02,0.11
Plant City,0.74,0.05,0.07,0.02,0.12
Haines City,,,,,
Tampa,0.61,0.13,0.09,0.02,0.15
Medulla,,,,,
Lealman,,,,,
South Bradenton,,,,,
Land O' Lakes,0.7,0.11,0.09,0.02,0.08
Keystone,0.63,0.17,0.12,0.02,0.06
Wesley Chapel South,0.69,0.11,0.1,0.03,0.07
North Port,0.67,0.07,0.11,0.02,0.13
Bradenton,0.68,0.08,0.09,0.02,0.13
Palm River-Clair Mel,0.71,0.09,0.11,,0.09
Lake Magdalene,0.62,0.15,0.11,0.02,0.1
University,0.62,0.12,0.11,0.03,0.12
North Sarasota,0.63,0.11,0.11,0.03,0.12
Myakka City,0.66,0.09,0.13,0.02,0.1
Citrus Park,0.64,0.14,0.1,0.04,0.08
Wesley Chapel,0.66,0.13,0.1,0.03,0.08
Bartow,0.76,0.05,0.07,,0.12
Loughman,,,,,
Bloomingdale,0.65,0.13,0.12,0.02,0.08
Greater Carrollwood,0.64,0.14,0.12,0.02,0.08
Brandon,0.66,0.12,0.09,0.03,0.1
Sarasota,0.57,0.1,0.09,0.03,0.21
Brooksville,,,,,
Vamo,,,,,
Lakeland Highlands,0.7,0.1,0.11,0.02,0.07
Saint Petersburg,61%,11%,9%,3%,16%
Lutz,0.61,0.13,0.14,0.05,0.07
Kenneth City,,,,,
Wauchula,,,,,
Fruitville,0.62,0.11,0.11,0.02,0.14
Greater Northdale,0.62,0.15,0.11,0.03,0.09
Sebring,,,,,
Town 'n' Country,,,,,
Zephyrhills West,,,,,
Temple Terrace,,,,,
Lithia,0.66,0.13,0.1,0.03,0.08
Zephyrhills,0.7,0.08,0.09,0.03,0.1
Bee Ridge,,,,,
Lakeland,0.66,0.09,0.09,0.02,0.14
Apollo Beach,,,,,
Sarasota Springs,,,,,
Venice,,,,,
Shady Hills,,,,,
Homosassa Springs,,,,,
Mango,,,,,
Osprey,,,,,
Ellenton,,,,,
Cheval,,,,,
The Meadows,,,,,
Eagle Lake,,,,,
Floral City,,,,,
Winter Haven,,,,,
Kathleen,,,,,
Egypt Lake-Leto,,,,,
Westchase,,,,,
Sugarmill Woods,,,,,
Gulfport,,,,,
Southgate,,,,,
Lecanto,,,,,
Sun City Center,,,,,
Citrus Springs,,,,,
Pine Ridge,,,,,
Poinciana,,,,,
Lake Wales,,,,,
Thonotosassa,,,,,
Jan Phyl Village,,,,,
Crystal Lake,,,,,
Wimauma,,,,,
East Lake-Orient Park,,,,,