Week,alfredo_pasta_Miami_Ft_Lauderdale_FL,Spaghetti_and meatballs_Miami_Ft_Lauderdale_FL
2/5/2017,30,15
2/12/2017,46,15
2/19/2017,15,15
2/26/2017,0,15
3/5/2017,30,15
3/12/2017,29,15
3/19/2017,15,16
3/26/2017,50,15
4/2/2017,15,15
4/9/2017,15,15
4/16/2017,15,15
4/23/2017,34,15
4/30/2017,17,15
5/7/2017,16,15
5/14/2017,15,15
5/21/2017,34,15
5/28/2017,69,17
6/4/2017,33,15
6/11/2017,35,35
6/18/2017,34,15
6/25/2017,15,18
7/2/2017,18,0
7/9/2017,53,18
7/16/2017,35,0
7/23/2017,15,53
7/30/2017,17,0
8/6/2017,34,15
8/13/2017,53,15
8/20/2017,15,15
8/27/2017,15,16
9/3/2017,33,17
9/10/2017,15,15
9/17/2017,17,17
9/24/2017,34,15
10/1/2017,16,15
10/8/2017,15,17
10/15/2017,17,0
10/22/2017,49,16
10/29/2017,15,15
11/5/2017,15,15
11/12/2017,16,16
11/19/2017,15,15
11/26/2017,32,16
12/3/2017,15,15
12/10/2017,33,15
12/17/2017,17,15
12/24/2017,18,15
12/31/2017,35,15
1/7/2018,17,17
1/14/2018,16,32
1/21/2018,15,15
1/28/2018,63,31
2/4/2018,15,15
2/11/2018,15,16
2/18/2018,16,16
2/25/2018,16,32
3/4/2018,15,15
3/11/2018,15,15
3/18/2018,47,15
3/25/2018,33,17
4/1/2018,15,15
4/8/2018,31,15
4/15/2018,65,15
4/22/2018,32,16
4/29/2018,16,33
5/6/2018,15,15
5/13/2018,15,15
5/20/2018,15,31
5/27/2018,33,15
6/3/2018,49,15
6/10/2018,15,32
6/17/2018,15,15
6/24/2018,15,15
7/1/2018,34,51
7/8/2018,33,15
7/15/2018,17,15
7/22/2018,15,15
7/29/2018,68,15
8/5/2018,15,15
8/12/2018,17,17
8/19/2018,17,15
8/26/2018,16,16
9/2/2018,31,15
9/9/2018,49,15
9/16/2018,33,15
9/23/2018,15,32
9/30/2018,15,31
10/7/2018,32,15
10/14/2018,32,15
10/21/2018,15,32
10/28/2018,32,15
11/4/2018,15,31
11/11/2018,32,15
11/18/2018,35,35
11/25/2018,15,15
12/2/2018,32,15
12/9/2018,32,32
12/16/2018,16,16
12/23/2018,18,35
12/30/2018,34,15
1/6/2019,47,15
1/13/2019,62,15
1/20/2019,15,30
1/27/2019,15,15
2/3/2019,46,15
2/10/2019,15,15
2/17/2019,30,15
2/24/2019,30,15
3/3/2019,31,15
3/10/2019,31,15
3/17/2019,49,15
3/24/2019,50,15
3/31/2019,15,15
4/7/2019,16,16
4/14/2019,16,33
4/21/2019,50,15
4/28/2019,31,15
5/5/2019,33,15
5/12/2019,33,17
5/19/2019,83,15
5/26/2019,15,15
6/2/2019,33,17
6/9/2019,33,15
6/16/2019,16,15
6/23/2019,32,16
6/30/2019,34,15
7/7/2019,65,15
7/14/2019,16,15
7/21/2019,16,31
7/28/2019,33,16
8/4/2019,67,15
8/11/2019,32,15
8/18/2019,30,15
8/25/2019,29,15
9/1/2019,14,14
9/8/2019,28,14
9/15/2019,44,29
9/22/2019,30,15
9/29/2019,46,15
10/6/2019,30,15
10/13/2019,30,15
10/20/2019,60,15
10/27/2019,31,15
11/3/2019,28,14
11/10/2019,75,30
11/17/2019,15,15
11/24/2019,15,15
12/1/2019,31,15
12/8/2019,30,15
12/15/2019,57,15
12/22/2019,30,44
12/29/2019,15,15
1/5/2020,40,40
1/12/2020,15,15
1/19/2020,28,15
1/26/2020,26,15
2/2/2020,13,13
2/9/2020,40,15
2/16/2020,28,15
2/23/2020,25,15
3/1/2020,50,15
3/8/2020,36,36
3/15/2020,25,15
3/22/2020,41,15
3/29/2020,40,27
4/5/2020,26,26
4/12/2020,13,26
4/19/2020,78,13
4/26/2020,66,26
5/3/2020,26,15
5/10/2020,26,39
5/17/2020,40,40
5/24/2020,56,28
5/31/2020,40,27
6/7/2020,91,15
6/14/2020,15,28
6/21/2020,28,15
6/28/2020,14,14
7/5/2020,57,15
7/12/2020,29,14
7/19/2020,14,14
7/26/2020,57,14
8/2/2020,44,15
8/9/2020,30,15
8/16/2020,15,15
8/23/2020,14,14
8/30/2020,27,15
9/6/2020,29,15
9/13/2020,14,14
9/20/2020,29,15
9/27/2020,30,15
10/4/2020,29,15
10/11/2020,44,15
10/18/2020,45,15
10/25/2020,30,15
11/1/2020,27,15
11/8/2020,14,14
11/15/2020,30,15
11/22/2020,15,15
11/29/2020,15,30
12/6/2020,29,14
12/13/2020,15,15
12/20/2020,49,33
12/27/2020,16,16
1/3/2021,72,15
1/10/2021,100,14
1/17/2021,29,15
1/24/2021,14,14
1/31/2021,14,14
2/7/2021,14,15
2/14/2021,71,15
2/21/2021,83,15
2/28/2021,28,15
3/7/2021,15,15
3/14/2021,26,15
3/21/2021,14,15
3/28/2021,15,15
4/4/2021,14,15
4/11/2021,28,15
4/18/2021,15,15
4/25/2021,28,14
5/2/2021,29,0
5/9/2021,42,14
5/16/2021,0,0
5/23/2021,28,14
5/30/2021,45,15
6/6/2021,45,15
6/13/2021,15,15
6/20/2021,47,16
6/27/2021,31,15
7/4/2021,15,15
7/11/2021,15,15
7/18/2021,16,15
7/25/2021,46,15
8/1/2021,16,16
8/8/2021,33,16
8/15/2021,31,15
8/22/2021,15,51
8/29/2021,16,16
9/5/2021,31,15
9/12/2021,30,15
9/19/2021,31,15
9/26/2021,32,15
10/3/2021,12,12
10/10/2021,46,11
10/17/2021,15,15
10/24/2021,15,15
10/31/2021,63,15
11/7/2021,26,15
11/14/2021,41,15
11/21/2021,22,15
11/28/2021,30,15
12/5/2021,20,15
12/12/2021,21,10
12/19/2021,22,11
12/26/2021,15,22
1/2/2022,35,15
1/9/2022,15,15
1/16/2022,10,20
1/23/2022,15,15
