Week,Spicy_Tuna_Roll,California_Roll
2/5/2017,15,15
2/12/2017,15,15
2/19/2017,15,15
2/26/2017,47,15
3/5/2017,46,15
3/12/2017,15,15
3/19/2017,15,15
3/26/2017,15,15
4/2/2017,15,15
4/9/2017,15,15
4/16/2017,15,15
4/23/2017,15,15
4/30/2017,15,15
5/7/2017,15,15
5/14/2017,15,15
5/21/2017,15,15
5/28/2017,15,15
6/4/2017,15,15
6/11/2017,15,15
6/18/2017,15,15
6/25/2017,15,15
7/2/2017,15,15
7/9/2017,15,53
7/16/2017,99,15
7/23/2017,15,50
7/30/2017,48,15
8/6/2017,15,15
8/13/2017,15,15
8/20/2017,15,15
8/27/2017,47,15
9/3/2017,15,44
9/10/2017,52,15
9/17/2017,15,15
9/24/2017,15,15
10/1/2017,15,15
10/8/2017,47,15
10/15/2017,15,15
10/22/2017,48,15
10/29/2017,15,97
11/5/2017,15,0
11/12/2017,15,49
11/19/2017,15,48
11/26/2017,15,15
12/3/2017,15,15
12/10/2017,15,49
12/17/2017,15,15
12/24/2017,15,15
12/31/2017,15,15
1/7/2018,15,15
1/14/2018,15,15
1/21/2018,15,15
1/28/2018,15,98
2/4/2018,15,15
2/11/2018,15,15
2/18/2018,48,15
2/25/2018,15,47
3/4/2018,15,15
3/11/2018,48,15
3/18/2018,100,15
3/25/2018,15,15
4/1/2018,15,15
4/8/2018,15,15
4/15/2018,15,15
4/22/2018,15,15
4/29/2018,15,47
5/6/2018,15,48
5/13/2018,15,15
5/20/2018,15,15
5/27/2018,15,15
6/3/2018,15,15
6/10/2018,15,15
6/17/2018,15,46
6/24/2018,47,15
7/1/2018,47,47
7/8/2018,15,15
7/15/2018,15,15
7/22/2018,15,15
7/29/2018,15,15
8/5/2018,15,15
8/12/2018,15,15
8/19/2018,15,15
8/26/2018,15,15
9/2/2018,15,45
9/9/2018,45,15
9/16/2018,46,46
9/23/2018,15,15
9/30/2018,46,46
10/7/2018,15,15
10/14/2018,15,15
10/21/2018,15,15
10/28/2018,15,15
11/4/2018,15,43
11/11/2018,15,15
11/18/2018,15,15
11/25/2018,15,15
12/2/2018,15,15
12/9/2018,15,15
12/16/2018,15,15
12/23/2018,15,15
12/30/2018,47,15
1/6/2019,15,15
1/13/2019,15,45
1/20/2019,89,44
1/27/2019,15,45
2/3/2019,15,15
2/10/2019,15,15
2/17/2019,15,15
2/24/2019,15,45
3/3/2019,15,15
3/10/2019,15,15
3/17/2019,15,15
3/24/2019,15,15
3/31/2019,15,15
4/7/2019,15,45
4/14/2019,15,15
4/21/2019,15,15
4/28/2019,15,15
5/5/2019,15,15
5/12/2019,15,15
5/19/2019,15,15
5/26/2019,0,15
6/2/2019,50,15
6/9/2019,50,15
6/16/2019,15,49
6/23/2019,15,15
6/30/2019,15,15
7/7/2019,48,15
7/14/2019,15,15
7/21/2019,15,15
7/28/2019,15,47
8/4/2019,15,150
8/11/2019,15,150
8/18/2019,15,150
8/25/2019,15,150
9/1/2019,15,150
9/8/2019,15,150
9/15/2019,15,44
9/22/2019,15,15
9/29/2019,43,43
10/6/2019,15,42
10/13/2019,15,0
10/20/2019,15,42
10/27/2019,15,43
11/3/2019,15,43
11/10/2019,15,15
11/17/2019,15,15
11/24/2019,15,15
12/1/2019,15,15
12/8/2019,15,15
12/15/2019,15,15
12/22/2019,15,15
12/29/2019,15,15
1/5/2020,15,42
1/12/2020,15,15
1/19/2020,15,15
1/26/2020,15,15
2/2/2020,15,15
2/9/2020,15,15
2/16/2020,15,15
2/23/2020,15,15
3/1/2020,15,39
3/8/2020,15,15
3/15/2020,15,15
3/22/2020,15,15
3/29/2020,15,36
4/5/2020,15,15
4/12/2020,37,15
4/19/2020,37,15
4/26/2020,38,15
5/3/2020,15,37
5/10/2020,15,15
5/17/2020,15,15
5/24/2020,37,15
5/31/2020,15,15
6/7/2020,40,40
6/14/2020,15,15
6/21/2020,15,39
6/28/2020,40,15
7/5/2020,15,42
7/12/2020,15,43
7/19/2020,15,15
7/26/2020,15,15
8/2/2020,15,15
8/9/2020,15,15
8/16/2020,15,15
8/23/2020,15,15
8/30/2020,15,15
9/6/2020,15,15
9/13/2020,15,15
9/20/2020,15,15
9/27/2020,15,15
10/4/2020,15,15
10/11/2020,15,92
10/18/2020,15,15
10/25/2020,46,46
11/1/2020,15,15
11/8/2020,15,15
11/15/2020,44,15
11/22/2020,15,15
11/29/2020,15,15
12/6/2020,15,15
12/13/2020,15,15
12/20/2020,15,15
12/27/2020,15,15
1/3/2021,15,15
1/10/2021,15,15
1/17/2021,15,15
1/24/2021,15,15
1/31/2021,15,15
2/7/2021,15,15
2/14/2021,44,15
2/21/2021,45,15
2/28/2021,15,44
3/7/2021,15,15
3/14/2021,15,15
3/21/2021,15,84
3/28/2021,15,15
4/4/2021,15,42
4/11/2021,15,15
4/18/2021,15,15
4/25/2021,15,15
5/2/2021,15,87
5/9/2021,15,15
5/16/2021,15,15
5/23/2021,15,15
5/30/2021,15,15
6/6/2021,15,15
6/13/2021,15,15
6/20/2021,15,15
6/27/2021,15,15
7/4/2021,15,15
7/11/2021,15,15
7/18/2021,15,15
7/25/2021,44,44
8/1/2021,15,15
8/8/2021,15,42
8/15/2021,15,15
8/22/2021,44,15
8/29/2021,15,45
9/5/2021,15,47
9/12/2021,15,15
9/19/2021,15,45
9/26/2021,15,15
10/3/2021,15,15
10/10/2021,15,15
10/17/2021,15,31
10/24/2021,15,15
10/31/2021,15,15
11/7/2021,15,15
11/14/2021,15,15
11/21/2021,15,15
11/28/2021,15,15
12/5/2021,15,15
12/12/2021,15,15
12/19/2021,15,15
12/26/2021,15,15
1/2/2022,15,15
1/9/2022,15,30
1/16/2022,15,15
1/23/2022,30,15
