Week,Alfredo_Pasta,Spaghetti_Meatballs
2/5/2017,18,18
2/12/2017,18,18
2/19/2017,15,37
2/26/2017,51,17
3/5/2017,15,15
3/12/2017,51,17
3/19/2017,15,36
3/26/2017,15,15
4/2/2017,17,17
4/9/2017,17,17
4/16/2017,15,15
4/23/2017,15,15
4/30/2017,15,38
5/7/2017,38,15
5/14/2017,38,15
5/21/2017,15,39
5/28/2017,39,15
6/4/2017,36,15
6/11/2017,15,15
6/18/2017,18,18
6/25/2017,39,15
7/2/2017,58,15
7/9/2017,35,15
7/16/2017,18,18
7/23/2017,38,15
7/30/2017,35,15
8/6/2017,15,15
8/13/2017,38,15
8/20/2017,35,17
8/27/2017,37,15
9/3/2017,36,15
9/10/2017,19,19
9/17/2017,37,15
9/24/2017,35,17
10/1/2017,37,15
10/8/2017,17,17
10/15/2017,15,38
10/22/2017,15,36
10/29/2017,18,0
11/5/2017,15,38
11/12/2017,37,37
11/19/2017,15,38
11/26/2017,15,15
12/3/2017,15,15
12/10/2017,54,15
12/17/2017,38,15
12/24/2017,37,18
12/31/2017,18,18
1/7/2018,51,17
1/14/2018,37,15
1/21/2018,15,15
1/28/2018,36,15
2/4/2018,71,15
2/11/2018,36,15
2/18/2018,38,15
2/25/2018,15,15
3/4/2018,38,15
3/11/2018,15,38
3/18/2018,37,18
3/25/2018,15,15
4/1/2018,50,15
4/8/2018,15,15
4/15/2018,37,15
4/22/2018,49,16
4/29/2018,17,17
5/6/2018,18,18
5/13/2018,53,15
5/20/2018,38,15
5/27/2018,37,15
6/3/2018,35,15
6/10/2018,100,15
6/17/2018,15,15
6/24/2018,35,15
7/1/2018,35,15
7/8/2018,37,15
7/15/2018,34,15
7/22/2018,15,15
7/29/2018,34,15
8/5/2018,37,15
8/12/2018,15,15
8/19/2018,15,15
8/26/2018,33,17
9/2/2018,50,15
9/9/2018,33,15
9/16/2018,51,17
9/23/2018,37,15
9/30/2018,37,15
10/7/2018,67,17
10/14/2018,15,37
10/21/2018,52,34
10/28/2018,15,15
11/4/2018,32,16
11/11/2018,34,17
11/18/2018,36,15
11/25/2018,37,15
12/2/2018,15,15
12/9/2018,15,15
12/16/2018,15,15
12/23/2018,36,18
12/30/2018,37,15
1/6/2019,15,15
1/13/2019,50,15
1/20/2019,15,36
1/27/2019,15,15
2/3/2019,15,33
2/10/2019,33,15
2/17/2019,15,37
2/24/2019,33,16
3/3/2019,33,15
3/10/2019,37,15
3/17/2019,29,29
3/24/2019,14,14
3/31/2019,14,14
4/7/2019,37,15
4/14/2019,15,15
4/21/2019,18,18
4/28/2019,38,15
5/5/2019,15,15
5/12/2019,56,19
5/19/2019,39,15
5/26/2019,39,15
6/2/2019,15,15
6/9/2019,18,18
6/16/2019,38,15
6/23/2019,38,15
6/30/2019,15,15
7/7/2019,38,15
7/14/2019,38,15
7/21/2019,38,15
7/28/2019,35,15
8/4/2019,15,15
8/11/2019,51,15
8/18/2019,15,37
8/25/2019,15,15
9/1/2019,15,15
9/8/2019,37,15
9/15/2019,49,15
9/22/2019,33,15
9/29/2019,32,15
10/6/2019,30,15
10/13/2019,49,15
10/20/2019,15,15
10/27/2019,31,15
11/3/2019,64,15
11/10/2019,15,15
11/17/2019,34,34
11/24/2019,32,15
12/1/2019,15,15
12/8/2019,16,16
12/15/2019,15,15
12/22/2019,15,33
12/29/2019,15,36
1/5/2020,15,31
1/12/2020,30,15
1/19/2020,15,15
1/26/2020,46,15
2/2/2020,15,15
2/9/2020,30,15
2/16/2020,15,15
2/23/2020,15,15
3/1/2020,15,15
3/8/2020,14,29
3/15/2020,30,15
3/22/2020,57,14
3/29/2020,40,13
4/5/2020,15,28
4/12/2020,15,29
4/19/2020,54,13
4/26/2020,69,15
5/3/2020,14,14
5/10/2020,15,15
5/17/2020,27,15
5/24/2020,27,15
5/31/2020,29,15
6/7/2020,59,15
6/14/2020,15,15
6/21/2020,15,29
6/28/2020,15,15
7/5/2020,61,15
7/12/2020,15,15
7/19/2020,15,15
7/26/2020,16,16
8/2/2020,15,30
8/9/2020,15,30
8/16/2020,15,30
8/23/2020,15,31
8/30/2020,15,15
9/6/2020,14,14
9/13/2020,29,29
9/20/2020,14,14
9/27/2020,15,15
10/4/2020,47,16
10/11/2020,37,15
10/18/2020,33,15
10/25/2020,34,34
11/1/2020,27,15
11/8/2020,15,15
11/15/2020,15,15
11/22/2020,17,15
11/29/2020,32,16
12/6/2020,49,16
12/13/2020,34,15
12/20/2020,52,15
12/27/2020,48,16
1/3/2021,47,15
1/10/2021,32,48
1/17/2021,32,16
1/24/2021,33,17
1/31/2021,15,15
2/7/2021,32,32
2/14/2021,31,15
2/21/2021,17,17
2/28/2021,15,32
3/7/2021,31,15
3/14/2021,75,45
3/21/2021,15,31
3/28/2021,63,15
4/4/2021,16,16
4/11/2021,31,16
4/18/2021,31,15
4/25/2021,15,31
5/2/2021,15,15
5/9/2021,16,16
5/16/2021,33,15
5/23/2021,15,15
5/30/2021,15,15
6/6/2021,16,16
6/13/2021,0,62
6/20/2021,15,31
6/27/2021,30,15
7/4/2021,61,15
7/11/2021,46,15
7/18/2021,16,47
7/25/2021,49,32
8/1/2021,31,15
8/8/2021,31,16
8/15/2021,31,15
8/22/2021,48,16
8/29/2021,33,15
9/5/2021,17,17
9/12/2021,32,15
9/19/2021,17,17
9/26/2021,34,15
10/3/2021,13,13
10/10/2021,26,15
10/17/2021,35,12
10/24/2021,23,15
10/31/2021,24,12
11/7/2021,35,15
11/14/2021,23,15
11/21/2021,15,15
11/28/2021,22,11
12/5/2021,15,15
12/12/2021,24,15
12/19/2021,24,12
12/26/2021,45,15
1/2/2022,23,15
1/9/2022,11,11
1/16/2022,15,15
1/23/2022,22,11
