Category: All categories,,
Week,Pepperoni pizza: (Tampa-St. Petersburg (Sarasota) FL),supreme pizza: (Tampa-St. Petersburg (Sarasota) FL)
2017-02-05,33,0
2017-02-12,0,0
2017-02-19,0,0
2017-02-26,32,0
2017-03-05,32,0
2017-03-12,32,0
2017-03-19,34,0
2017-03-26,33,0
2017-04-02,33,0
2017-04-09,0,34
2017-04-16,0,0
2017-04-23,35,35
2017-04-30,35,0
2017-05-07,0,0
2017-05-14,39,0
2017-05-21,0,0
2017-05-28,39,0
2017-06-04,73,0
2017-06-11,36,0
2017-06-18,0,0
2017-06-25,0,0
2017-07-02,0,0
2017-07-09,0,0
2017-07-16,76,38
2017-07-23,75,0
2017-07-30,35,0
2017-08-06,0,0
2017-08-13,36,0
2017-08-20,35,35
2017-08-27,70,0
2017-09-03,0,0
2017-09-10,0,0
2017-09-17,36,0
2017-09-24,36,36
2017-10-01,35,0
2017-10-08,35,0
2017-10-15,35,0
2017-10-22,0,0
2017-10-29,0,0
2017-11-05,0,0
2017-11-12,0,0
2017-11-19,0,0
2017-11-26,66,0
2017-12-03,0,0
2017-12-10,0,35
2017-12-17,69,0
2017-12-24,0,0
2017-12-31,0,0
2018-01-07,32,32
2018-01-14,0,0
2018-01-21,32,0
2018-01-28,63,0
2018-02-04,0,0
2018-02-11,0,0
2018-02-18,32,0
2018-02-25,63,31
2018-03-04,63,0
2018-03-11,63,0
2018-03-18,64,0
2018-03-25,0,0
2018-04-01,0,0
2018-04-08,32,32
2018-04-15,64,0
2018-04-22,32,0
2018-04-29,0,0
2018-05-06,0,0
2018-05-13,0,0
2018-05-20,0,0
2018-05-27,0,0
2018-06-03,34,0
2018-06-10,33,33
2018-06-17,33,0
2018-06-24,34,0
2018-07-01,35,0
2018-07-08,0,0
2018-07-15,0,34
2018-07-22,34,34
2018-07-29,0,0
2018-08-05,0,0
2018-08-12,68,0
2018-08-19,34,34
2018-08-26,33,0
2018-09-02,34,34
2018-09-09,0,66
2018-09-16,34,0
2018-09-23,34,0
2018-09-30,33,0
2018-10-07,32,0
2018-10-14,0,0
2018-10-21,0,0
2018-10-28,0,0
2018-11-04,0,0
2018-11-11,0,0
2018-11-18,70,0
2018-11-25,64,0
2018-12-02,33,33
2018-12-09,66,0
2018-12-16,33,0
2018-12-23,35,35
2018-12-30,0,0
2019-01-06,32,0
2019-01-13,0,0
2019-01-20,0,31
2019-01-27,0,31
2019-02-03,31,0
2019-02-10,61,0
2019-02-17,30,0
2019-02-24,0,54
2019-03-03,0,0
2019-03-10,100,75
2019-03-17,29,0
2019-03-24,63,63
2019-03-31,63,31
2019-04-07,0,0
2019-04-14,32,0
2019-04-21,0,0
2019-04-28,33,0
2019-05-05,33,0
2019-05-12,33,0
2019-05-19,0,0
2019-05-26,34,0
2019-06-02,66,0
2019-06-09,33,0
2019-06-16,0,33
2019-06-23,0,0
2019-06-30,34,0
2019-07-07,65,0
2019-07-14,0,0
2019-07-21,34,0
2019-07-28,67,0
2019-08-04,33,0
2019-08-11,32,0
2019-08-18,0,0
2019-08-25,0,0
2019-09-01,0,0
2019-09-08,30,30
2019-09-15,60,0
2019-09-22,0,0
2019-09-29,31,0
2019-10-06,0,0
2019-10-13,0,0
2019-10-20,30,30
2019-10-27,0,0
2019-11-03,0,0
2019-11-10,29,0
2019-11-17,29,29
2019-11-24,0,0
2019-12-01,0,57
2019-12-08,0,0
2019-12-15,29,58
2019-12-22,29,29
2019-12-29,28,0
2020-01-05,28,28
2020-01-12,0,0
2020-01-19,27,27
2020-01-26,0,0
2020-02-02,52,0
2020-02-09,53,0
2020-02-16,26,26
2020-02-23,0,0
2020-03-01,25,25
2020-03-08,0,0
2020-03-15,25,0
2020-03-22,0,0
2020-03-29,23,0
2020-04-05,0,0
2020-04-12,45,0
2020-04-19,0,0
2020-04-26,0,0
2020-05-03,0,0
2020-05-10,0,0
2020-05-17,48,0
2020-05-24,74,0
2020-05-31,48,0
2020-06-07,49,24
2020-06-14,25,25
2020-06-21,78,26
2020-06-28,52,0
2020-07-05,79,0
2020-07-12,27,0
2020-07-19,0,0
2020-07-26,0,0
2020-08-02,27,0
2020-08-09,26,26
2020-08-16,53,0
2020-08-23,26,0
2020-08-30,26,0
2020-09-06,26,0
2020-09-13,74,0
2020-09-20,0,0
2020-09-27,0,0
2020-10-04,52,0
2020-10-11,28,56
2020-10-18,28,28
2020-10-25,28,0
2020-11-01,69,0
2020-11-08,78,52
2020-11-15,0,0
2020-11-22,29,29
2020-11-29,27,0
2020-12-06,0,0
2020-12-13,54,27
2020-12-20,0,0
2020-12-27,27,27
2021-01-03,0,0
2021-01-10,51,26
2021-01-17,26,0
2021-01-24,51,26
2021-01-31,52,0
2021-02-07,51,25
2021-02-14,26,0
2021-02-21,0,26
2021-02-28,0,0
2021-03-07,26,26
2021-03-14,25,0
2021-03-21,77,0
2021-03-28,52,0
2021-04-04,26,0
2021-04-11,26,0
2021-04-18,52,0
2021-04-25,0,0
2021-05-02,0,28
2021-05-09,27,27
2021-05-16,0,0
2021-05-23,28,0
2021-05-30,28,0
2021-06-06,28,0
2021-06-13,27,0
2021-06-20,84,0
2021-06-27,28,0
2021-07-04,0,0
2021-07-11,0,0
2021-07-18,28,0
2021-07-25,0,28
2021-08-01,28,0
2021-08-08,56,28
2021-08-15,27,0
2021-08-22,0,0
2021-08-29,57,0
2021-09-05,0,0
2021-09-12,57,0
2021-09-19,58,29
2021-09-26,59,29
2021-10-03,22,0
2021-10-10,21,0
2021-10-17,20,20
2021-10-24,40,0
2021-10-31,0,0
2021-11-07,0,0
2021-11-14,40,0
2021-11-21,0,21
2021-11-28,0,0
2021-12-05,20,20
2021-12-12,20,0
2021-12-19,85,0
2021-12-26,20,0
2022-01-02,0,0
2022-01-09,19,19
2022-01-16,19,19
2022-01-23,19,0